"고령군",17351,17340,17320,17334
"성주군",24059,24052,24024,24009
"칠곡군",53707,53724,53666,53534
"예천군",28034,28019,28011,28015
"봉화군",16578,16578,16578,16566
"울진군",25736,25756,25757,25749
"울릉군",5657,5646,5647,5584
"경상남도",1543107,1544015,1544775,1545143
"창원시",460941,461364,461660,461798
"의창구",97806,97826,97827,97883
"성산구",107678,108059,108325,108462
"마산합포구",86421,86396,86437,86426
"마산회원구",83355,83387,83422,83382
"진해구",85681,85696,85649,85645
"진주시",162246,162201,162222,162208
"통영시",59278,59330,59354,59324
"사천시",55712,55729,55780,55922
"사천남양출장소",0,0,0,0
"김해시",236303,236637,236948,237238
"장유출장소",0,0,0,0
"밀양시",54089,54108,54118,54082
"거제시",106480,106622,106684,106751
"양산시",164351,164418,164625,164755
"양산시웅상출장소",0,0,0,0
"의령군",14875,14866,14847,14831
"함안군",30121,30095,30065,30034
"창녕군",31846,31833,31755,31691
"고성군",26334,26354,26356,26332
"남해군",22202,22171,22152,22134
"하동군",23373,23367,23339,23326
"산청군",19621,19634,19642,19626
"함양군",20436,20429,20403,20352
"거창군",31329,31321,31309,31260
"합천군",23570,23536,23516,23479
"제주특별자치도",315066,315116,315049,315192
"제주시",226067,226163,226191,226374
"서귀포시",88999,88953,88858,88818
