grid_id,row,col,sub_row,sub_col,min_lon,min_lat,max_lon,max_lat,centroid_lon,centroid_lat,public_count,private_count,facilities_count,traffic_sum,traffic_sum_imputed,enforcement_sum,score_facilities,score_traffic,score_enforcement,congestion_score_raw,congestion_score,congestion_score_100,congestion_score_100_local
g61_sr2sc7,7,5,2,7,127.18476109372494,36.80329288383035,127.18798171064861,36.805882719984496,127.18637142840318,36.80458780780124,0,0,0,0.0,5460.427419354839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
g61_sr2sc8,7,5,2,8,127.18792180578312,36.80334109564149,127.1911423258682,36.80593085228041,127.18953209204203,36.80463597985672,0,0,0,0.0,5460.427419354839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
g61_sr2sc9,7,5,2,9,127.19108252535281,36.80338922351393,127.19430294858529,36.80597890062929,127.19269276318543,36.80468406796934,0,0,0,0.0,5460.427419354839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
g61_sr3sc0,7,5,3,0,127.16257557349178,36.805494639599495,127.16579697985037,36.80808503543719,127.16418630289051,36.80678984339902,0,0,0,20661.1935483871,20661.1935483871,99.0,0.0,1.7075043121792515,0.07944787737741754,0.595650729852223,1.3572105880600278,13.572105880600278,13.572105880600278
g61_sr3sc1,7,5,3,1,127.16573633695846,36.80554344344901,127.16895764656478,36.80813375982245,127.16734701798109,36.80683860751837,0,0,0,0.0,5460.427419354839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
g61_sr3sc2,7,5,3,2,127.16889710802919,36.80559216335654,127.17211832086917,36.80818240025737,127.17050774066868,36.80688728769156,0,0,0,0.0,5460.427419354839,1.0,0.0,0.0,0.0008025038118931064,0.0002675012706310355,0.0006095108066266014,0.0060951080662660145,0.0060951080662660145
g61_sr3sc3,7,5,3,3,127.17205788669088,36.80564079932145,127.17527900275043,36.808230956741326,127.17366847094019,36.806935883917944,0,0,0,0.0,5460.427419354839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
g61_sr3sc4,7,5,3,4,127.17521867293044,36.8056893513431,127.17843969219555,36.80827942927368,127.17682920878254,36.806984396196896,0,0,0,0.0,5460.427419354839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
g61_sr3sc5,7,5,3,5,127.1783794667348,36.805737819420855,127.18160038919142,36.80832781785382,127.17998995418267,36.8070328245278,0,0,0,0.0,5460.427419354839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
g61_sr3sc6,7,5,3,6,127.18154026809093,36.805786203554085,127.18476109372494,36.80837612248109,127.1831507071275,36.80708116891001,0,0,0,0.0,5460.427419354839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
