grid_id,row,col,sub_row,sub_col,min_lon,min_lat,max_lon,max_lat,public_count,private_count,centroid_lon,centroid_lat,facilities_count,traffic_sum,traffic_sum_imputed,enforcement_sum,score_facilities,score_traffic,score_enforcement,congestion_score_raw,congestion_score,congestion_score_100
g28,4,5,-1,-1,127.16403140738325,36.727706561552004,127.19606532797785,36.74752104099688,0,0,127.18089571971718,36.73845272751065,0,0.0,33450.4623655914,27.0,0.0,0.0,0.004262036306235201,0.0014206787687450668,0.0015198699280217153,0.015198699280217153
g29,4,6,-1,-1,127.19561437236167,36.722228977079816,127.22778259089097,36.74799590210758,0,0,127.21228546668739,36.73555709016746,0,0.0,33450.4623655914,0.0,0.0,0.0,0.0,0.0,0.0,0.0
g30,4,7,-1,-1,127.22719808364548,36.72257881158308,127.25935663473467,36.74846238555678,0,0,127.24327997195192,36.735521189801545,6,0.0,33450.4623655914,210.0,0.9836065573770492,0.0,0.03314917127071823,0.3389185762159224,0.36258172035155567,3.6258172035155565
g31,4,8,-1,-1,127.25878252820152,36.723044866173,127.29093139788097,36.74892049073878,0,0,127.27485957580994,36.73598327164038,6,0.0,33450.4623655914,139.0,0.9836065573770492,0.0,0.021941594317284922,0.3351827172314447,0.3585850253556468,3.5858502535564676
g32,4,9,-1,-1,127.29036769299488,36.72350255019326,127.32236174131477,36.7493702170588,0,0,127.30610496380555,36.73670078443068,1,0.0,33450.4623655914,1.0,0.16393442622950818,0.0,0.00015785319652722967,0.05469742647534514,0.058516376445528234,0.5851637644552823
g33,4,10,-1,-1,127.3219535649886,36.72930391934001,127.34316956626441,36.749543463007264,0,0,127.33103499920902,36.73964280616986,0,0.0,33450.4623655914,0.0,0.0,0.0,0.0,0.0,0.0,0.0
g34,4,12,-1,-1,127.39456121523652,36.74484876355476,127.40614440374863,36.750527963370764,0,0,127.40089723206817,36.74856132840158,0,0.0,33450.4623655914,0.0,0.0,0.0,0.0,0.0,0.0,0.0
g35,5,2,-1,-1,127.08653106400877,36.74584854585794,127.10086776846536,36.761134586252446,0,0,127.09599861932197,36.751681822454096,0,0.0,33450.4623655914,1.0,0.0,0.0,0.00015785319652722967,5.261773217574322e-05,5.629147881561909e-05,0.0005629147881561909
g36,5,3,-1,-1,127.10053862749817,36.74604619791527,127.13244920174141,36.771961828347486,0,0,127.11889626052661,36.756518976229344,0,0.0,33450.4623655914,230.0,0.0,0.0,0.036306235201262825,0.012102078400420942,0.012947040127592391,0.1294704012759239
g37,5,4,-1,-1,127.13183272576957,36.746546188267935,127.16403140738325,36.77245389516085,0,0,127.1479346825229,36.75950062765381,0,0.0,33450.4623655914,749.0,0.0,0.0,0.11823204419889502,0.03941068139963167,0.042162317632898696,0.42162317632898694
g38,5,5,-1,-1,127.16342534224769,36.74703780284121,127.19561437236167,36.77293757785666,0,0,127.17952247327152,36.75998827824343,2,0.0,33450.4623655914,416.0,0.32786885245901637,0.0,0.06566692975532754,0.13117859407144797,0.14033742512072278,1.4033742512072276
